Model,Filter,dAccuracy,dMacro-F1,dBalancedAcc,dAUC
ResNet50,Average,1.56,4.37,1.56,-5.34
ResNet50,Gaussian,0.0,1.38,0.0,-3.09
ResNet50,Median,-1.56,-1.56,-1.56,-3.52
ResNet50,Sharpening,4.69,5.7,4.69,1.82
ResNet50,Sobel,-6.25,-0.75,-6.25,-9.6
AlexNet,Average,-3.12,-9.27,-3.12,-6.64
AlexNet,Gaussian,-1.56,-3.62,-1.56,-5.5
AlexNet,Median,-1.56,-4.19,-1.56,-1.63
AlexNet,Sharpening,-6.25,-9.98,-6.25,-0.85
AlexNet,Sobel,-9.38,-13.67,-9.38,-2.21
ResNet101,Average,3.12,2.74,3.12,-5.44
ResNet101,Gaussian,-3.12,-2.8,-3.12,-7.29
ResNet101,Median,1.56,1.68,1.56,-2.28
ResNet101,Sharpening,1.56,1.68,1.56,-1.63
ResNet101,Sobel,-9.38,-3.3,-9.38,-12.24
