Model,Filter,BestValMacroF1,test_accuracy,test_balanced_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_auc,test_no_tta_accuracy,test_no_tta_balanced_accuracy,test_no_tta_precision_macro,test_no_tta_recall_macro,test_no_tta_f1_macro,test_no_tta_precision_weighted,test_no_tta_recall_weighted,test_no_tta_f1_weighted,test_no_tta_auc,val_accuracy,val_balanced_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_precision_weighted,val_recall_weighted,val_f1_weighted,val_auc
ResNet50,No Filter,80.4,67.19,67.19,78.01,67.19,60.47,78.01,67.19,60.47,92.94,67.19,67.19,77.5,67.19,60.52,77.5,67.19,60.52,93.0,80.73,80.21,82.12,80.21,80.4,82.56,80.73,80.84,95.42
ResNet50,Average,81.42,68.75,68.75,76.93,68.75,64.84,76.93,68.75,64.84,87.6,67.19,67.19,78.55,67.19,62.49,78.55,67.19,62.49,85.77,81.96,81.44,82.01,81.44,81.42,82.62,81.96,81.96,95.59
ResNet50,Gaussian,81.2,67.19,67.19,75.63,67.19,61.86,75.63,67.19,61.86,89.84,65.62,65.62,76.8,65.62,59.18,76.8,65.62,59.18,88.9,81.65,81.16,81.97,81.16,81.2,82.55,81.65,81.71,94.8
ResNet50,Median,76.31,65.62,65.62,75.08,65.62,58.91,75.08,65.62,58.91,89.42,64.06,64.06,74.44,64.06,59.48,74.44,64.06,59.48,89.52,77.37,77.32,78.56,77.32,76.31,79.23,77.37,76.58,94.21
ResNet50,Sharpening,82.33,71.88,71.88,79.96,71.88,66.17,79.96,71.88,66.17,94.76,71.88,71.88,79.96,71.88,66.17,79.96,71.88,66.17,94.89,82.87,82.45,83.25,82.45,82.33,83.76,82.87,82.76,94.52
ResNet50,Sobel,62.93,60.94,60.94,61.72,60.94,59.72,61.72,60.94,59.72,83.33,57.81,57.81,58.09,57.81,56.64,58.09,57.81,56.64,82.26,63.61,63.66,64.41,63.66,62.93,64.69,63.61,62.97,83.96
AlexNet,No Filter,82.97,67.19,67.19,73.2,67.19,64.85,73.2,67.19,64.85,90.2,67.19,67.19,73.67,67.19,65.75,73.67,67.19,65.75,90.14,83.49,83.0,83.02,83.0,82.97,83.62,83.49,83.51,95.23
AlexNet,Average,85.59,64.06,64.06,50.35,64.06,55.58,50.35,64.06,55.58,83.56,64.06,64.06,74.64,64.06,57.4,74.64,64.06,57.4,83.98,85.93,85.44,85.97,85.44,85.59,86.15,85.93,85.93,96.08
AlexNet,Gaussian,83.8,65.62,65.62,77.51,65.62,61.23,77.51,65.62,61.23,84.7,64.06,64.06,75.6,64.06,59.51,75.6,64.06,59.51,85.03,84.1,83.83,83.86,83.83,83.8,84.27,84.1,84.13,95.81
AlexNet,Median,85.65,65.62,65.62,77.11,65.62,60.66,77.11,65.62,60.66,88.57,67.19,67.19,79.0,67.19,62.55,79.0,67.19,62.55,88.64,85.93,85.54,86.13,85.54,85.65,86.26,85.93,85.9,96.03
AlexNet,Sharpening,79.4,60.94,60.94,61.74,60.94,54.87,61.74,60.94,54.87,89.36,60.94,60.94,62.42,60.94,55.35,62.42,60.94,55.35,89.36,79.51,79.63,81.25,79.63,79.4,82.16,79.51,79.8,94.45
AlexNet,Sobel,59.62,57.81,57.81,48.93,57.81,51.18,48.93,57.81,51.18,87.99,59.38,59.38,55.0,59.38,53.61,55.0,59.38,53.61,87.47,59.94,59.67,63.27,59.67,59.62,63.48,59.94,59.74,82.97
ResNet101,No Filter,82.74,67.19,67.19,76.54,67.19,60.31,76.54,67.19,60.31,93.59,65.62,65.62,75.81,65.62,59.05,75.81,65.62,59.05,91.44,83.18,82.67,83.4,82.67,82.74,83.7,83.18,83.13,94.95
ResNet101,Average,84.38,70.31,70.31,79.64,70.31,63.05,79.64,70.31,63.05,88.15,67.19,67.19,76.23,67.19,62.04,76.23,67.19,62.04,85.58,84.71,84.41,84.59,84.41,84.38,84.97,84.71,84.71,95.5
ResNet101,Gaussian,83.85,64.06,64.06,73.9,64.06,57.51,73.9,64.06,57.51,86.3,60.94,60.94,47.22,60.94,52.86,47.22,60.94,52.86,84.47,84.1,83.92,84.05,83.92,83.85,84.73,84.1,84.29,95.19
ResNet101,Median,79.18,68.75,68.75,79.59,68.75,61.98,79.59,68.75,61.98,91.31,67.19,67.19,79.06,67.19,60.64,79.06,67.19,60.64,88.48,79.51,78.98,80.82,78.98,79.18,81.1,79.51,79.53,95.37
ResNet101,Sharpening,81.66,68.75,68.75,79.59,68.75,61.98,79.59,68.75,61.98,91.96,71.88,71.88,81.22,71.88,64.6,81.22,71.88,64.6,91.05,81.96,81.66,83.77,81.66,81.66,84.2,81.96,81.96,94.29
ResNet101,Sobel,60.56,57.81,57.81,61.72,57.81,57.01,61.72,57.81,57.01,81.35,51.56,51.56,54.37,51.56,50.31,54.37,51.56,50.31,80.18,61.16,60.98,61.58,60.98,60.56,61.51,61.16,60.57,82.97
