Model,Filter,Accuracy,Precision,Recall,F1-score,Macro-F1,AUC
ResNet50,No Filter,67.19,78.01,67.19,60.47,60.47,92.94
ResNet50,Average,68.75,76.93,68.75,64.84,64.84,87.6
ResNet50,Gaussian,67.19,75.63,67.19,61.86,61.86,89.84
ResNet50,Median,65.62,75.08,65.62,58.91,58.91,89.42
ResNet50,Sharpening,71.88,79.96,71.88,66.17,66.17,94.76
ResNet50,Sobel,60.94,61.72,60.94,59.72,59.72,83.33
AlexNet,No Filter,67.19,73.2,67.19,64.85,64.85,90.2
AlexNet,Average,64.06,50.35,64.06,55.58,55.58,83.56
AlexNet,Gaussian,65.62,77.51,65.62,61.23,61.23,84.7
AlexNet,Median,65.62,77.11,65.62,60.66,60.66,88.57
AlexNet,Sharpening,60.94,61.74,60.94,54.87,54.87,89.36
AlexNet,Sobel,57.81,48.93,57.81,51.18,51.18,87.99
ResNet101,No Filter,67.19,76.54,67.19,60.31,60.31,93.59
ResNet101,Average,70.31,79.64,70.31,63.05,63.05,88.15
ResNet101,Gaussian,64.06,73.9,64.06,57.51,57.51,86.3
ResNet101,Median,68.75,79.59,68.75,61.98,61.98,91.31
ResNet101,Sharpening,68.75,79.59,68.75,61.98,61.98,91.96
ResNet101,Sobel,57.81,61.72,57.81,57.01,57.01,81.35
