Model,Representation,Runs,Accuracy (%),Accuracy std,Precision (%),Recall (%),F1-Score (%),Val F1 (%),Training Time (s),Inference Time (ms)
SVM,Raw,1,57.812,0.0,62.191,57.812,57.784,66.767,4.894,2.888
SVM,Filtered,1,60.938,0.0,61.878,60.938,60.611,67.687,4.661,2.811
SVM,Edge,1,32.812,0.0,33.012,32.812,32.376,45.25,4.087,2.843
Random Forest,Raw,1,51.562,0.0,53.48,51.562,50.757,64.365,8.728,4.452
Random Forest,Filtered,1,54.688,0.0,59.314,54.688,54.616,63.183,9.838,3.441
Random Forest,Edge,1,26.562,0.0,29.514,26.562,26.171,45.722,8.518,3.456
KNN,Raw,1,45.312,0.0,37.923,45.312,40.146,58.018,4.732,2.687
KNN,Filtered,1,43.75,0.0,36.708,43.75,38.429,58.868,4.536,2.623
KNN,Edge,1,35.938,0.0,34.167,35.938,34.191,42.541,3.897,2.641
CNN Model 1 (ResNet50),Raw,1,70.312,0.0,78.93,70.312,64.914,80.171,61.472,5.983
CNN Model 1 (ResNet50),Filtered,1,68.75,0.0,53.655,68.75,59.679,79.431,54.405,8.351
CNN Model 1 (ResNet50),Edge,1,40.625,0.0,38.646,40.625,39.232,47.413,53.724,7.014
CNN Model 2 (AlexNet),Raw,1,67.188,0.0,73.668,67.188,65.746,82.146,21.813,0.79
CNN Model 2 (AlexNet),Filtered,1,62.5,0.0,62.698,62.5,56.533,79.814,14.539,0.798
CNN Model 2 (AlexNet),Edge,1,45.312,0.0,43.35,45.312,43.348,48.85,14.459,0.828
